"filename", "language", "XML", "Markdown", "PowerShell", "JSON", "comment", "blank", "total"
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\CloudinaryDotNet.1.27.6\README.md", "Markdown", 0, -85, 0, 0, 0, -34, -119
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\CloudinaryDotNet.1.27.6\lib\net452\CloudinaryDotNet.xml", "XML", -19457, 0, 0, 0, 0, -35, -19492
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\CloudinaryDotNet.1.27.6\lib\netstandard1.3\CloudinaryDotNet.xml", "XML", -19457, 0, 0, 0, 0, -35, -19492
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\CloudinaryDotNet.1.27.6\lib\netstandard2.0\CloudinaryDotNet.xml", "XML", -19462, 0, 0, 0, 0, -35, -19497
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\EntityFramework.6.5.1\README.md", "Markdown", 0, -19, 0, 0, 0, -16, -35
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\EntityFramework.6.5.1\buildTransitive\EntityFramework.props", "XML", -3, 0, 0, 0, 0, -1, -4
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\EntityFramework.6.5.1\buildTransitive\EntityFramework.targets", "XML", -3, 0, 0, 0, 0, -1, -4
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\EntityFramework.6.5.1\buildTransitive\net6.0\EntityFramework.props", "XML", -3, 0, 0, 0, 0, -1, -4
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\EntityFramework.6.5.1\buildTransitive\net6.0\EntityFramework.targets", "XML", -3, 0, 0, 0, 0, -1, -4
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\EntityFramework.6.5.1\build\EntityFramework.DefaultItems.props", "XML", -6, 0, 0, 0, 0, -1, -7
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\EntityFramework.6.5.1\build\EntityFramework.props", "XML", -3, 0, 0, 0, 0, -1, -4
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\EntityFramework.6.5.1\build\EntityFramework.targets", "XML", -91, 0, 0, 0, -28, -34, -153
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\EntityFramework.6.5.1\build\net6.0\EntityFramework.props", "XML", -6, 0, 0, 0, 0, -1, -7
